"cosit","class","year","month","day","VehicleCount"
"000000001015","3","2019","9","3","4958"
"000000001505","5","2019","9","3","1435"
"000000001831","3","2019","9","3","256"
"000000010113","3","2019","9","3","1727"
"000000020065","3","2019","9","3","2002"
"000000020083","3","2019","9","3","988"
"000000020092","3","2019","9","3","1652"
"000000020212","3","2019","9","3","1245"
"000000001593","6","2019","9","3","38"
"000000003172","5","2019","9","3","204"
"000000020202","6","2019","9","3","448"
"000000020041","5","2019","9","3","722"
"000000020907","3","2019","9","3","577"
"000000001172","3","2019","9","3","405"
"000000020078","1","2019","9","3","97"
"000000001401","4","2019","9","3","57"
"000000020012","7","2019","9","3","126"
"000000001522","7","2019","9","3","35"
"000000001741","6","2019","9","3","69"
"000000201081","5","2019","9","3","244"
"000000001222","7","2019","9","3","39"
"000000003807","6","2019","9","3","34"
"000000001036","5","2019","9","3","84"
"000000202639","7","2019","9","3","33"
"000000020221","6","2019","9","3","94"
"000000020186","4","2019","9","3","48"
"000000001631","1","2019","9","3","7"
"000000003805","5","2019","9","3","24"
"000000001601","7","2019","9","3","8"
"000000001283","7","2019","9","3","1"
"000000020113","1","2019","9","3","4"
"000000001085","2","2019","9","3","6741"
"000000001086","6","2019","9","3","984"
"000000001581","2","2019","9","3","3336"
"000000015001","5","2019","9","3","1139"
"000000020042","6","2019","9","3","2046"
"000000020257","3","2019","9","3","3257"
"000000020905","4","2019","9","3","60"
"000000020908","6","2019","9","3","527"
"000000001121","6","2019","9","3","145"
"000000001841","3","2019","9","3","1650"
"000000020024","2","2019","9","3","2076"
"000000020044","1","2019","9","3","38"
"000000001541","6","2019","9","3","213"
"000000003171","7","2019","9","3","54"
"000000020047","7","2019","9","3","184"
"000000020082","5","2019","9","3","156"
"000000200714","6","2019","9","3","51"
"000000001031","2","2019","9","3","1926"
"000000001090","5","2019","9","3","518"
"000000001251","6","2019","9","3","228"
"000000001812","7","2019","9","3","21"
"000000020621","7","2019","9","3","36"
"000000020511","4","2019","9","3","32"
"000000005045","4","2019","9","3","365"
"000000001679","1","2019","9","3","25"
"000000001715","3","2019","9","3","469"
"000000020152","4","2019","9","3","26"
"000000208001","7","2019","9","3","68"
"000000001331","1","2019","9","3","19"
"000000001602","1","2019","9","3","14"
"000000001256","0","2019","9","3","1"
"000000001033","2","2019","9","3","28523"
"000000001044","3","2019","9","3","4269"
"000000001056","5","2019","9","3","97"
"000000001090","2","2019","9","3","15384"
"000000001224","2","2019","9","3","9616"
"000000001502","4","2019","9","3","571"
"000000003804","4","2019","9","3","59"
"000000020013","2","2019","9","3","19032"
"000000020018","5","2019","9","3","510"
"000000020084","2","2019","9","3","6097"
"000000020524","2","2019","9","3","3470"
"000000001042","6","2019","9","3","172"
"000000020046","3","2019","9","3","581"
"000000001271","6","2019","9","3","85"
"000000001312","3","2019","9","3","1187"
"000000201321","4","2019","9","3","96"
"000000001025","1","2019","9","3","25"
"000000001508","7","2019","9","3","671"
"000000001521","4","2019","9","3","20"
"000000001717","2","2019","9","3","1957"
"000000020258","7","2019","9","3","109"
"000000015002","7","2019","9","3","90"
"000000020045","4","2019","9","3","28"
"000000001131","5","2019","9","3","148"
"000000020526","7","2019","9","3","36"
"000000001223","1","2019","9","3","24"
"000000020812","7","2019","9","3","39"
"000000001681","5","2019","9","3","57"
"000000001012","0","2019","9","3","1"
"000000003181","1","2019","9","3","8"
"000000001661","4","2019","9","3","7"
"000000001693","4","2019","9","3","4"
"000000020671","4","2019","9","3","8"
"000000001016","5","2019","9","3","812"
"000000001032","2","2019","9","3","4933"
"000000001053","2","2019","9","3","2479"
"000000001092","3","2019","9","3","1638"
"000000001254","6","2019","9","3","332"
"000000001501","3","2019","9","3","11107"
"000000001552","6","2019","9","3","290"
"000000001711","6","2019","9","3","320"
"000000020019","2","2019","9","3","14515"
"000000020183","7","2019","9","3","97"
"000000001161","6","2019","9","3","79"
"000000020243","6","2019","9","3","258"
"000000001771","6","2019","9","3","278"
"000000020563","6","2019","9","3","86"
"000000020906","4","2019","9","3","59"
"000000001201","7","2019","9","3","43"
"000000020811","6","2019","9","3","61"
"000000001692","4","2019","9","3","21"
"000000003806","4","2019","9","3","1"
"000000020051","1","2019","9","3","5"
"000000001871","6","2019","9","3","14"
"000000001511","1","2019","9","3","3"
"000000001024","3","2019","9","3","714"
"000000001044","2","2019","9","3","40968"
"000000001321","2","2019","9","3","18399"
