"cosit","class","year","month","day","VehicleCount"
"000000001015","2","2013","6","1","36693"
"000000001071","3","2013","6","1","6331"
"000000001321","5","2013","6","1","272"
"000000001506","4","2013","6","1","70"
"000000001611","5","2013","6","1","105"
"000000001713","6","2013","6","1","82"
"000000001715","2","2013","6","1","5464"
"000000020034","3","2013","6","1","672"
"000000020046","2","2013","6","1","6948"
"000000020047","5","2013","6","1","713"
"000000020089","2","2013","6","1","9410"
"000000020258","2","2013","6","1","38821"
"000000001241","2","2013","6","1","5038"
"000000001243","6","2013","6","1","118"
"000000020301","6","2013","6","1","45"
"000000020041","1","2013","6","1","457"
"000000020045","5","2013","6","1","184"
"000000001811","4","2013","6","1","43"
"000000020861","7","2013","6","1","81"
"000000001221","6","2013","6","1","10"
"000000020113","7","2013","6","1","151"
"000000001331","7","2013","6","1","56"
"000000001511","7","2013","6","1","32"
"000000020085","0","2013","6","1","4"
"000000001037","7","2013","6","1","117"
"000000020203","7","2013","6","1","164"
"000000001602","7","2013","6","1","57"
"000000001131","1","2013","6","1","45"
"000000001161","1","2013","6","1","14"
"000000001803","1","2013","6","1","34"
"000000001255","0","2013","6","1","4"
"000000020601","4","2013","6","1","4"
"000000020523","0","2013","6","1","1"
"000000001014","6","2013","6","1","2293"
"000000001133","3","2013","6","1","503"
"000000001221","3","2013","6","1","449"
"000000001251","2","2013","6","1","7605"
"000000001504","5","2013","6","1","704"
"000000001731","2","2013","6","1","2704"
"000000001841","2","2013","6","1","9129"
"000000020012","2","2013","6","1","33865"
"000000020034","6","2013","6","1","176"
"000000020076","3","2013","6","1","1890"
"000000020117","5","2013","6","1","270"
"000000020152","6","2013","6","1","139"
"000000020204","1","2013","6","1","85"
"000000020906","5","2013","6","1","161"
"000000200721","5","2013","6","1","240"
"000000001081","6","2013","6","1","342"
"000000020525","3","2013","6","1","481"
"000000200723","5","2013","6","1","453"
"000000001022","3","2013","6","1","383"
"000000091037","6","2013","6","1","80"
"000000020084","7","2013","6","1","162"
"000000020186","5","2013","6","1","185"
"000000001591","5","2013","6","1","75"
"000000001624","4","2013","6","1","4"
"000000020023","5","2013","6","1","90"
"000000001552","1","2013","6","1","43"
"000000001621","4","2013","6","1","14"
"000000001691","7","2013","6","1","50"
"000000200718","1","2013","6","1","153"
"000000020526","1","2013","6","1","19"
"000000001042","1","2013","6","1","44"
"000000001022","6","2013","6","1","327"
"000000001132","3","2013","6","1","1117"
"000000001171","4","2013","6","1","55"
"000000001331","5","2013","6","1","111"
"000000020525","6","2013","6","1","101"
"000000001712","3","2013","6","1","552"
"000000201081","3","2013","6","1","1528"
"000000001042","4","2013","6","1","21"
"000000001133","6","2013","6","1","82"
"000000001506","7","2013","6","1","235"
"000000020691","2","2013","6","1","621"
"000000001023","4","2013","6","1","68"
"000000020181","4","2013","6","1","100"
"000000020861","5","2013","6","1","104"
"000000020151","5","2013","6","1","89"
"000000001171","7","2013","6","1","72"
"000000020204","4","2013","6","1","78"
"000000001172","1","2013","6","1","66"
"000000001803","4","2013","6","1","14"
"000000001101","1","2013","6","1","29"
"000000001671","6","2013","6","1","10"
"000000001161","4","2013","6","1","13"
"000000001037","5","2013","6","1","369"
"000000001071","6","2013","6","1","1994"
"000000001502","2","2013","6","1","91624"
"000000001521","2","2013","6","1","3868"
"000000001531","2","2013","6","1","4009"
"000000001542","2","2013","6","1","3254"
"000000020065","2","2013","6","1","25499"
"000000020076","6","2013","6","1","1051"
"000000020113","5","2013","6","1","360"
"000000020114","5","2013","6","1","231"
"000000020171","2","2013","6","1","10419"
"000000020211","2","2013","6","1","9205"
"000000020511","2","2013","6","1","4065"
"000000020701","2","2013","6","1","2772"
"000000200715","3","2013","6","1","382"
"000000202103","2","2013","6","1","7252"
"000000920042","3","2013","6","1","2438"
"000000001511","5","2013","6","1","24"
"000000020203","5","2013","6","1","375"
"000000200722","5","2013","6","1","376"
"000000200811","5","2013","6","1","296"
"000000020041","4","2013","6","1","309"
"000000001112","5","2013","6","1","181"
"000000200718","4","2013","6","1","64"
"000000001311","5","2013","6","1","72"
"000000202104","4","2013","6","1","46"
"000000001811","7","2013","6","1","67"
"000000001592","5","2013","6","1","31"
"000000001691","5","2013","6","1","97"
"000000001023","7","2013","6","1","74"
"000000001131","4","2013","6","1","13"
"000000001621","7","2013","6","1","90"
"000000001552","4","2013","6","1","23"
"000000001671","3","2013","6","1","119"
"000000020601","7","2013","6","1","98"
"000000020621","1","2013","6","1","28"
"000000020611","1","2013","6","1","28"
"000000001624","7","2013","6","1","61"
"000000020092","1","2013","6","1","40"
"000000001551","1","2013","6","1","32"
"000000020812","1","2013","6","1","15"
"000000020254","0","2013","6","1","1"
"000000020075","0","2013","6","1","2"
"000000001541","3","2013","6","1","263"
"000000020012","3","2013","6","1","7079"
"000000020082","3","2013","6","1","395"
"000000020089","3","2013","6","1","550"
"000000020153","2","2013","6","1","6432"
"000000020258","3","2013","6","1","2817"
"000000200715","6","2013","6","1","408"
"000000200718","7","2013","6","1","135"
"000000920042","6","2013","6","1","350"
"000000001101","4","2013","6","1","11"
"000000001781","3","2013","6","1","123"
"000000001811","5","2013","6","1","105"
"000000020031","1","2013","6","1","28"
"000000202104","7","2013","6","1","103"
"000000001712","6","2013","6","1","184"
"000000020204","7","2013","6","1","71"
"000000001172","4","2013","6","1","37"
"000000020085","1","2013","6","1","100"
"000000001602","5","2013","6","1","59"
"000000020611","4","2013","6","1","21"
"000000001624","5","2013","6","1","109"
"000000020092","4","2013","6","1","74"
"000000020812","4","2013","6","1","8"
"000000020018","0","2013","6","1","3"
"000000001051","0","2013","6","1","2"
"000000001506","5","2013","6","1","521"
"000000020601","5","2013","6","1","120"
"000000201081","6","2013","6","1","548"
"000000001132","6","2013","6","1","164"
"000000001251","3","2013","6","1","533"
"000000020041","7","2013","6","1","181"
"000000202301","3","2013","6","1","298"
"000000020084","5","2013","6","1","155"
"000000020181","7","2013","6","1","145"
"000000001803","7","2013","6","1","60"
"000000001692","1","2013","6","1","40"
"000000020062","1","2013","6","1","63"
"000000001042","7","2013","6","1","71"
"000000001131","7","2013","6","1","60"
"000000001161","7","2013","6","1","76"
"000000001552","7","2013","6","1","57"
"000000020523","1","2013","6","1","62"
"000000020526","4","2013","6","1","12"
"000000020621","4","2013","6","1","30"
"000000001507","0","2013","6","1","3"
"000000001722","0","2013","6","1","1"
"000000001012","3","2013","6","1","5810"
"000000001111","3","2013","6","1","2187"
"000000001253","3","2013","6","1","3718"
"000000001503","4","2013","6","1","537"
"000000001721","2","2013","6","1","6511"
"000000001771","3","2013","6","1","439"
"000000015010","5","2013","6","1","423"
"000000020018","6","2013","6","1","841"
"000000020036","6","2013","6","1","68"
"000000020071","5","2013","6","1","714"
"000000020172","6","2013","6","1","174"
"000000020721","6","2013","6","1","15"
"000000001271","3","2013","6","1","838"
"000000001722","6","2013","6","1","75"
"000000020016","5","2013","6","1","330"
"000000020118","5","2013","6","1","188"
"000000200812","3","2013","6","1","741"
"000000001222","3","2013","6","1","642"
"000000020252","3","2013","6","1","524"
"000000001509","1","2013","6","1","317"
"000000001086","7","2013","6","1","158"
"000000001714","3","2013","6","1","85"
"000000015011","7","2013","6","1","204"
"000000001711","7","2013","6","1","177"
"000000020591","7","2013","6","1","45"
"000000001013","7","2013","6","1","34"
"000000001523","4","2013","6","1","12"
"000000001151","1","2013","6","1","20"
"000000001033","5","2013","6","1","375"
"000000001051","6","2013","6","1","42"
"000000001052","6","2013","6","1","74"
"000000001113","5","2013","6","1","473"
